Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-02-07,Babylon,2022,https://boxd.it/3P93TJ,3.5,,,2022-12-12
2024-03-04,Dune: Part Two,2024,https://boxd.it/5Y9pMx,5,,,2024-03-03
